"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd"
"beta5",-5,-6.08780648,0.32018771119362,-6.68977075,-5.44843075,-1.08780648,1.08780648,FALSE,"Naive",0.5
"beta6",0,-0.3473422382896,0.220918188483364,-0.78860095,0.0876911249999999,-0.3473422382896,0.3473422382896,TRUE,"Naive",0.5
"beta7",0,0.130196153016,0.254318398204594,-0.374946375,0.614777225,0.130196153016,0.130196153016,TRUE,"Naive",0.5
"beta8",0,-0.0658661533522,0.239995895137621,-0.5351957,0.41163895,-0.0658661533522,0.0658661533522,TRUE,"Naive",0.5
"beta9",0,0.130264181404,0.22029940392234,-0.297798025,0.550353075,0.130264181404,0.130264181404,TRUE,"Naive",0.5
"beta10",0,0.1358286519353,0.245680128623785,-0.335995975,0.62119695,0.1358286519353,0.1358286519353,TRUE,"Naive",0.5
"beta11",0,-0.2717779534814,0.242571697425362,-0.709349375,0.20948515,-0.2717779534814,0.2717779534814,TRUE,"Naive",0.5
"beta12",0,0.109430873894,0.25747663221996,-0.40713115,0.614883975,0.109430873894,0.109430873894,TRUE,"Naive",0.5
"beta13",0,0.291419220326,0.23266143744413,-0.178423875,0.727660325,0.291419220326,0.291419220326,TRUE,"Naive",0.5
"beta14",0,0.149504154292,0.257662955414863,-0.352067425,0.654050875,0.149504154292,0.149504154292,TRUE,"Naive",0.5
"beta15",0,-0.7518030336,0.208755264899973,-1.172859,-0.343047075,-0.7518030336,0.7518030336,FALSE,"Naive",0.5
"beta16",0,-0.3755616524821,0.241500224580374,-0.865151175,0.103177725,-0.3755616524821,0.3755616524821,TRUE,"Naive",0.5
"beta17",0,0.05614623122,0.259199145038995,-0.44840985,0.558001225,0.05614623122,0.05614623122,TRUE,"Naive",0.5
"beta18",0,0.340617576147,0.24694715170971,-0.142966075,0.833252575,0.340617576147,0.340617576147,TRUE,"Naive",0.5
"beta19",0,0.209111270325,0.238393197558514,-0.260653525,0.68351975,0.209111270325,0.209111270325,TRUE,"Naive",0.5
"beta20",0,0.02532686474358,0.228485173863098,-0.4084183,0.465687125,0.02532686474358,0.02532686474358,TRUE,"Naive",0.5
"beta1",1,0.900728708,0.232638649874539,0.459310725,1.3881265,-0.099271292,0.099271292,TRUE,"Proposed",0.5
"beta2",2,2.18756757,0.228325990219258,1.76279675,2.61979225,0.18756757,0.18756757,TRUE,"Proposed",0.5
"beta3",3,2.8986794,0.258308230774642,2.4295885,3.42112425,-0.1013206,0.1013206,TRUE,"Proposed",0.5
"beta4",-4,-4.06328887,0.249440853494802,-4.550837,-3.58240925,-0.06328887,0.06328887,TRUE,"Proposed",0.5
"beta5",-5,-5.07841427,0.264853055761895,-5.594175,-4.559962,-0.0784142699999997,0.0784142699999997,TRUE,"Proposed",0.5
"beta6",0,-0.057885973717,0.222847608582588,-0.505962975,0.371846425,-0.057885973717,0.057885973717,TRUE,"Proposed",0.5
"beta7",0,-0.178310576801,0.241528952337936,-0.63136725,0.2991285,-0.178310576801,0.178310576801,TRUE,"Proposed",0.5
"beta8",0,0.00865067190273,0.232215108983105,-0.4227058,0.4676537,0.00865067190273,0.00865067190273,TRUE,"Proposed",0.5
