"eta_true","rep","model","intercept","eta_hat","abs_bias","disease_rate"
0.4,56,"no_intercept",NA,0.510844236794559,0.110844236794559,0.544444444444444
0.4,56,"with_intercept",-0.543463155502715,1.33606261606286,0.93606261606286,0.544444444444444
0.4,57,"no_intercept",NA,-0.136389988264654,0.536389988264654,0.507777777777778
0.4,57,"with_intercept",0.743739951998429,-1.3087274041862,1.7087274041862,0.507777777777778
0.4,58,"no_intercept",NA,0.706771772041273,0.306771772041273,0.54
0.4,58,"with_intercept",-0.223556188560912,1.03853489947116,0.63853489947116,0.54
0.4,59,"no_intercept",NA,0.246191248963605,0.153808751036395,0.461111111111111
0.4,59,"with_intercept",-0.00806132580902289,0.260065650378451,0.139934349621549,0.461111111111111
0.4,60,"no_intercept",NA,0.118861011324063,0.281138988675937,0.501111111111111
0.4,60,"with_intercept",0.293176263433393,-0.343761029879286,0.743761029879286,0.501111111111111
0.4,61,"no_intercept",NA,0.382827773544451,0.0171722264555489,0.51
0.4,61,"with_intercept",0.234764964945099,0.0138119426450617,0.386188057354938,0.51
0.4,62,"no_intercept",NA,0.119312573218162,0.280687426781839,0.52
0.4,62,"with_intercept",-0.107447579280286,0.290596122526361,0.109403877473639,0.52
0.4,63,"no_intercept",NA,-0.0484626841962015,0.448462684196201,0.498888888888889
0.4,63,"with_intercept",-0.245892256485057,0.330159832030115,0.0698401679698853,0.498888888888889
0.4,64,"no_intercept",NA,0.386187702490257,0.0138122975097427,0.533333333333333
0.4,64,"with_intercept",1.02760768310769,-1.17427042940166,1.57427042940166,0.533333333333333
0.4,65,"no_intercept",NA,0.568431240421144,0.168431240421144,0.496666666666667
0.4,65,"with_intercept",0.349080655498901,0.00173395257965502,0.398266047420345,0.496666666666667
0.4,66,"no_intercept",NA,0.441586920826753,0.0415869208267529,0.478888888888889
0.4,66,"with_intercept",-0.468209431382344,1.21677397159909,0.816773971599092,0.478888888888889
0.4,67,"no_intercept",NA,0.752093133106108,0.352093133106108,0.477777777777778
0.4,67,"with_intercept",-0.849671345804607,2.17927531209064,1.77927531209064,0.477777777777778
0.4,68,"no_intercept",NA,0.730232356075748,0.330232356075748,0.542222222222222
0.4,68,"with_intercept",-0.44396184214912,1.40196313443838,1.00196313443838,0.542222222222222
0.4,69,"no_intercept",NA,0.029731884577155,0.370268115422845,0.505555555555556
0.4,69,"with_intercept",0.0140005599131431,0.00835347714590495,0.391646522854095,0.505555555555556
0.4,70,"no_intercept",NA,0.67442572102852,0.27442572102852,0.521111111111111
0.4,70,"with_intercept",0.489208898708506,-0.095225254889298,0.495225254889298,0.521111111111111
0.4,71,"no_intercept",NA,0.219452907631076,0.180547092368924,0.503333333333333
0.4,71,"with_intercept",0.0950394444803387,0.0650968166945155,0.334903183305485,0.503333333333333
0.4,72,"no_intercept",NA,0.549747360674041,0.149747360674041,0.492222222222222
0.4,72,"with_intercept",-0.652524502126637,1.63057281528423,1.23057281528423,0.492222222222222
0.4,73,"no_intercept",NA,0.472977432443624,0.0729774324436235,0.51
0.4,73,"with_intercept",-0.023578280069098,0.50910157769294,0.10910157769294,0.51
0.4,74,"no_intercept",NA,0.593928250203403,0.193928250203403,0.503333333333333
