"setting","kind","rep","missing"
"gamma=(-6,1,4)","nonignorable",131,3
"gamma=(-6,1,4)","nonignorable",132,0
"gamma=(-6,1,4)","nonignorable",133,4
"gamma=(-6,1,4)","nonignorable",134,5
"gamma=(-6,1,4)","nonignorable",135,8
"gamma=(-6,1,4)","nonignorable",136,4
"gamma=(-6,1,4)","nonignorable",137,8
"gamma=(-6,1,4)","nonignorable",138,2
"gamma=(-6,1,4)","nonignorable",139,4
"gamma=(-6,1,4)","nonignorable",140,2
"gamma=(-6,1,4)","nonignorable",141,6
"gamma=(-6,1,4)","nonignorable",142,2
"gamma=(-6,1,4)","nonignorable",143,3
"gamma=(-6,1,4)","nonignorable",144,2
"gamma=(-6,1,4)","nonignorable",145,1
"gamma=(-6,1,4)","nonignorable",146,0
"gamma=(-6,1,4)","nonignorable",147,6
"gamma=(-6,1,4)","nonignorable",148,4
"gamma=(-6,1,4)","nonignorable",149,2
"gamma=(-6,1,4)","nonignorable",150,5
"gamma=(-6,1,4)","nonignorable",151,6
"gamma=(-6,1,4)","nonignorable",152,3
"gamma=(-6,1,4)","nonignorable",153,5
"gamma=(-6,1,4)","nonignorable",154,5
"gamma=(-6,1,4)","nonignorable",155,5
"gamma=(-6,1,4)","nonignorable",156,1
"gamma=(-6,1,4)","nonignorable",157,3
"gamma=(-6,1,4)","nonignorable",158,4
"gamma=(-6,1,4)","nonignorable",159,2
"gamma=(-6,1,4)","nonignorable",160,7
"gamma=(-6,1,4)","nonignorable",161,8
"gamma=(-6,1,4)","nonignorable",162,3
"gamma=(-6,1,4)","nonignorable",163,4
"gamma=(-6,1,4)","nonignorable",164,1
"gamma=(-6,1,4)","nonignorable",165,8
"gamma=(-6,1,4)","nonignorable",166,5
"gamma=(-6,1,4)","nonignorable",167,4
"gamma=(-6,1,4)","nonignorable",168,5
"gamma=(-6,1,4)","nonignorable",169,4
"gamma=(-6,1,4)","nonignorable",170,3
"gamma=(-6,1,4)","nonignorable",171,3
"gamma=(-6,1,4)","nonignorable",172,3
"gamma=(-6,1,4)","nonignorable",173,5
"gamma=(-6,1,4)","nonignorable",174,3
"gamma=(-6,1,4)","nonignorable",175,3
"gamma=(-6,1,4)","nonignorable",176,3
"gamma=(-6,1,4)","nonignorable",177,1
"gamma=(-6,1,4)","nonignorable",178,5
"gamma=(-6,1,4)","nonignorable",179,6
"gamma=(-6,1,4)","nonignorable",180,9
"gamma=(-6,1,4)","nonignorable",181,3
"gamma=(-6,1,4)","nonignorable",182,4
"gamma=(-6,1,4)","nonignorable",183,6
"gamma=(-6,1,4)","nonignorable",184,1
"gamma=(-6,1,4)","nonignorable",185,6
"gamma=(-6,1,4)","nonignorable",186,2
"gamma=(-6,1,4)","nonignorable",187,6
"gamma=(-6,1,4)","nonignorable",188,6
"gamma=(-6,1,4)","nonignorable",189,4
"gamma=(-6,1,4)","nonignorable",190,2
"gamma=(-6,1,4)","nonignorable",191,4
"gamma=(-6,1,4)","nonignorable",192,5
"gamma=(-6,1,4)","nonignorable",193,5
"gamma=(-6,1,4)","nonignorable",194,9
"gamma=(-6,1,4)","nonignorable",195,3
"gamma=(-6,1,4)","nonignorable",196,9
"gamma=(-6,1,4)","nonignorable",197,7
"gamma=(-6,1,4)","nonignorable",198,4
"gamma=(-6,1,4)","nonignorable",199,1
"gamma=(-6,1,4)","nonignorable",200,3
"gamma=(-5,1,1.6)","nonignorable",1,12
"gamma=(-5,1,1.6)","nonignorable",2,16
"gamma=(-5,1,1.6)","nonignorable",3,13
"gamma=(-5,1,1.6)","nonignorable",4,7
"gamma=(-5,1,1.6)","nonignorable",5,12
"gamma=(-5,1,1.6)","nonignorable",6,15
"gamma=(-5,1,1.6)","nonignorable",7,5
"gamma=(-5,1,1.6)","nonignorable",8,11
"gamma=(-5,1,1.6)","nonignorable",9,8
"gamma=(-5,1,1.6)","nonignorable",10,12
"gamma=(-5,1,1.6)","nonignorable",11,13
"gamma=(-5,1,1.6)","nonignorable",12,9
"gamma=(-5,1,1.6)","nonignorable",13,11
"gamma=(-5,1,1.6)","nonignorable",14,17
"gamma=(-5,1,1.6)","nonignorable",15,6
"gamma=(-5,1,1.6)","nonignorable",16,12
"gamma=(-5,1,1.6)","nonignorable",17,13
"gamma=(-5,1,1.6)","nonignorable",18,10
"gamma=(-5,1,1.6)","nonignorable",19,14
"gamma=(-5,1,1.6)","nonignorable",20,13
"gamma=(-5,1,1.6)","nonignorable",21,15
"gamma=(-5,1,1.6)","nonignorable",22,19
"gamma=(-5,1,1.6)","nonignorable",23,7
"gamma=(-5,1,1.6)","nonignorable",24,13
"gamma=(-5,1,1.6)","nonignorable",25,14
"gamma=(-5,1,1.6)","nonignorable",26,6
"gamma=(-5,1,1.6)","nonignorable",27,14
"gamma=(-5,1,1.6)","nonignorable",28,15
"gamma=(-5,1,1.6)","nonignorable",29,6
"gamma=(-5,1,1.6)","nonignorable",30,12
"gamma=(-5,1,1.6)","nonignorable",31,5
"gamma=(-5,1,1.6)","nonignorable",32,11
"gamma=(-5,1,1.6)","nonignorable",33,14
"gamma=(-5,1,1.6)","nonignorable",34,10
"gamma=(-5,1,1.6)","nonignorable",35,10
"gamma=(-5,1,1.6)","nonignorable",36,12
"gamma=(-5,1,1.6)","nonignorable",37,11
"gamma=(-5,1,1.6)","nonignorable",38,17
"gamma=(-5,1,1.6)","nonignorable",39,8
"gamma=(-5,1,1.6)","nonignorable",40,9
"gamma=(-5,1,1.6)","nonignorable",41,14
"gamma=(-5,1,1.6)","nonignorable",42,9
"gamma=(-5,1,1.6)","nonignorable",43,6
"gamma=(-5,1,1.6)","nonignorable",44,12
"gamma=(-5,1,1.6)","nonignorable",45,15
"gamma=(-5,1,1.6)","nonignorable",46,15
"gamma=(-5,1,1.6)","nonignorable",47,9
"gamma=(-5,1,1.6)","nonignorable",48,12
"gamma=(-5,1,1.6)","nonignorable",49,14
"gamma=(-5,1,1.6)","nonignorable",50,11
"gamma=(-5,1,1.6)","nonignorable",51,14
"gamma=(-5,1,1.6)","nonignorable",52,9
"gamma=(-5,1,1.6)","nonignorable",53,13
"gamma=(-5,1,1.6)","nonignorable",54,6
"gamma=(-5,1,1.6)","nonignorable",55,15
"gamma=(-5,1,1.6)","nonignorable",56,8
"gamma=(-5,1,1.6)","nonignorable",57,7
"gamma=(-5,1,1.6)","nonignorable",58,11
"gamma=(-5,1,1.6)","nonignorable",59,16
"gamma=(-5,1,1.6)","nonignorable",60,9
"gamma=(-5,1,1.6)","nonignorable",61,15
"gamma=(-5,1,1.6)","nonignorable",62,13
"gamma=(-5,1,1.6)","nonignorable",63,14
"gamma=(-5,1,1.6)","nonignorable",64,6
"gamma=(-5,1,1.6)","nonignorable",65,11
"gamma=(-5,1,1.6)","nonignorable",66,15
"gamma=(-5,1,1.6)","nonignorable",67,13
"gamma=(-5,1,1.6)","nonignorable",68,9
