"eta_true","sweeps","update","gen_scale","fit_scale","rep","eta_hat","eta_abs_bias","disease_rate"
0.4,20,"checkerboard","sum","sum",22,0.47607508035074,0.0760750803507402,0.517777777777778
0.4,20,"checkerboard","sum","sum",23,0.331140534213984,0.068859465786016,0.541111111111111
0.4,20,"checkerboard","sum","sum",24,0.61746015305204,0.21746015305204,0.548888888888889
0.4,20,"checkerboard","sum","sum",25,0.313471489189065,0.0865285108109352,0.563333333333333
0.4,20,"checkerboard","sum","sum",26,0.474562126108452,0.074562126108452,0.571111111111111
0.4,20,"checkerboard","sum","sum",27,0.372412895942549,0.0275871040574508,0.541111111111111
0.4,20,"checkerboard","sum","sum",28,0.473223805172162,0.0732238051721615,0.573333333333333
0.4,20,"checkerboard","sum","sum",29,0.37099033625398,0.0290096637460202,0.526666666666667
0.4,20,"checkerboard","sum","sum",30,0.469056535921445,0.0690565359214454,0.543333333333333
0.4,20,"checkerboard","sum","sum",31,0.271380668505677,0.128619331494323,0.518888888888889
0.4,20,"checkerboard","sum","sum",32,0.447227648251183,0.0472276482511825,0.558888888888889
0.4,20,"checkerboard","sum","sum",33,0.469225212203963,0.0692252122039632,0.564444444444444
0.4,20,"checkerboard","sum","sum",34,0.416095607359733,0.0160956073597326,0.584444444444444
0.4,20,"checkerboard","sum","sum",35,0.43802976585,0.0380297658500003,0.526666666666667
0.4,20,"checkerboard","sum","sum",36,0.398746858001615,0.00125314199838494,0.551111111111111
0.4,20,"checkerboard","sum","sum",37,0.467969526775593,0.0679695267755933,0.524444444444444
0.4,20,"checkerboard","sum","sum",38,0.236298972702129,0.163701027297871,0.525555555555556
0.4,20,"checkerboard","sum","sum",39,0.525132658149168,0.125132658149168,0.568888888888889
0.4,20,"checkerboard","sum","sum",40,0.359442069726536,0.0405579302734643,0.564444444444444
0.4,20,"checkerboard","sum","sum",41,0.48967828112577,0.0896782811257704,0.576666666666667
0.4,20,"checkerboard","sum","sum",42,0.523674347995714,0.123674347995714,0.528888888888889
0.4,20,"checkerboard","sum","sum",43,0.370717201901046,0.029282798098954,0.554444444444444
0.4,20,"checkerboard","sum","sum",44,0.334684407353704,0.0653155926462963,0.556666666666667
0.4,20,"checkerboard","sum","sum",45,0.355819652139298,0.0441803478607024,0.56
0.4,20,"checkerboard","sum","sum",46,0.508492233190218,0.108492233190218,0.567777777777778
0.4,20,"checkerboard","sum","sum",47,0.474829355461231,0.0748293554612309,0.545555555555556
0.4,20,"checkerboard","sum","sum",48,0.32613552073482,0.0738644792651802,0.533333333333333
0.4,20,"checkerboard","sum","sum",49,0.473297392496225,0.073297392496225,0.573333333333333
0.4,20,"checkerboard","sum","sum",50,0.396556764346387,0.00344323565361332,0.546666666666667
0.4,100,"parallel","avg","avg",1,0.0765700516512684,0.323429948348732,0.498888888888889
0.4,100,"parallel","avg","avg",2,0.269110607280321,0.130889392719679,0.494444444444444
0.4,100,"parallel","avg","avg",3,0.420329887782124,0.0203298877821241,0.49
0.4,100,"parallel","avg","avg",4,0.422609379914844,0.0226093799148439,0.504444444444444
0.4,100,"parallel","avg","avg",5,0.341714191485155,0.0582858085148452,0.524444444444444
0.4,100,"parallel","avg","avg",6,0.719181006034517,0.319181006034516,0.512222222222222
0.4,100,"parallel","avg","avg",7,0.375345338255067,0.0246546617449329,0.497777777777778
0.4,100,"parallel","avg","avg",8,0.150253854800956,0.249746145199044,0.514444444444444
0.4,100,"parallel","avg","avg",9,0.677137439002555,0.277137439002555,0.53
0.4,100,"parallel","avg","avg",10,0.253233458712115,0.146766541287885,0.527777777777778
0.4,100,"parallel","avg","avg",11,0.45905683899246,0.0590568389924594,0.504444444444444
0.4,100,"parallel","avg","avg",12,0.474106589411607,0.0741065894116071,0.52
0.4,100,"parallel","avg","avg",13,0.531764011909212,0.131764011909212,0.528888888888889
0.4,100,"parallel","avg","avg",14,0.538335632414941,0.138335632414941,0.53
0.4,100,"parallel","avg","avg",15,0.456388016528724,0.0563880165287237,0.492222222222222
0.4,100,"parallel","avg","avg",16,0.811829488979813,0.411829488979813,0.524444444444444
0.4,100,"parallel","avg","avg",17,0.345000266975746,0.0549997330242541,0.494444444444444
0.4,100,"parallel","avg","avg",18,0.867054599844976,0.467054599844976,0.507777777777778
0.4,100,"parallel","avg","avg",19,0.39647641082944,0.0035235891705605,0.517777777777778
0.4,100,"parallel","avg","avg",20,0.150917777840847,0.249082222159153,0.512222222222222
0.4,100,"parallel","avg","avg",21,-0.246107692200862,0.646107692200862,0.5
0.4,100,"parallel","avg","avg",22,-0.20020277373536,0.60020277373536,0.484444444444444
0.4,100,"parallel","avg","avg",23,-0.368289348282745,0.768289348282745,0.464444444444444
0.4,100,"parallel","avg","avg",24,0.122512736519154,0.277487263480846,0.49
0.4,100,"parallel","avg","avg",25,0.00379122141722815,0.396208778582772,0.512222222222222
0.4,100,"parallel","avg","avg",26,0.0082151493505817,0.391784850649418,0.493333333333333
0.4,100,"parallel","avg","avg",27,0.767110205122517,0.367110205122517,0.506666666666667
0.4,100,"parallel","avg","avg",28,0.315195006848123,0.0848049931518767,0.487777777777778
0.4,100,"parallel","avg","avg",29,0.267445036064987,0.132554963935013,0.496666666666667
0.4,100,"parallel","avg","avg",30,0.322399799662498,0.0776002003375024,0.484444444444444
